ID Movimiento;ID Orden;Fecha Orden;Prioridad;SKU;Margen base;Cantidad Pedida;Precio por Unidad;Descuento;ID Cliente
4031;28774;01/01/2009;Alto;382;0,68;32;5,98;0,1;1
3588;25601;05/01/2009;Medio;382;0,68;43;5,98;0,09;2
948;6854;06/01/2009;Medio;6;0,37;19;6,64;0,05;3
1914;13729;01/01/2009;No Especificado;1047;0,3;9;95,99;0,08;4
5272;37537;02/01/2009;Bajo;252;0,56;4;291,73;0;5
5273;37537;02/01/2009;Bajo;1071;0,69;43;100,98;0,07;5
1424;10310;05/02/2009;Bajo;4;0,58;6;195,99;0,1;6
5274;37537;02/01/2009;Bajo;379;0,59;32;155,06;0,05;5
6720;47872;12/06/2009;Critical;6;0,37;50;6,64;0,05;7
6224;44069;02/01/2009;Critical;1040;0,4;16;9,11;0,09;8
4291;30567;14/01/2009;No Especificado;2;0,58;14;208,16;0,1;9
3335;23844;06/07/2009;No Especificado;5;0,5;42;21,78;0,03;10
1279;9285;02/01/2009;Critical;329;0,36;3;40,98;0,06;11
5451;38721;24/03/2009;Critical;6;0,37;17;6,64;0,1;12
5359;38084;20/03/2009;No Especificado;1040;0,4;11;9,11;0,02;13
7271;51873;06/05/2009;Alto;1040;0,4;29;9,11;0,04;14
6225;44069;02/01/2009;Critical;539;0,39;43;15,04;0,08;8
6134;43399;30/07/2009;Alto;539;0,39;8;15,04;0;15
1074;7909;03/01/2009;Alto;684;0,44;29;4,26;0,03;16
1525;11008;24/02/2009;Critical;9;0,3;17;138,14;0,01;17
1315;9637;03/01/2009;Bajo;716;0,64;12;43,22;0,08;18
1316;9637;03/01/2009;Bajo;176;0,37;49;574,74;0,05;18
2956;21383;30/01/2009;Bajo;176;0,37;31;574,74;0,07;19
1317;9637;03/01/2009;Bajo;89;0,36;12;10,14;0,04;18
1380;10022;04/03/2009;Bajo;89;0,36;1;10,14;0,06;20
3499;24933;26/07/2009;Bajo;89;0,36;14;10,14;0,01;21
1663;11972;03/01/2009;No Especificado;1168;0,59;4;213,45;0;22
3145;22562;27/03/2009;Medio;1168;0,59;46;213,45;0,08;23
3587;25574;12/03/2009;No Especificado;13;0,71;31;47,98;0,01;24
4223;30016;03/01/2009;Critical;302;0,4;15;5,28;0,03;25
4224;30016;03/01/2009;Critical;371;0,57;8;110,99;0,01;25
1461;10530;27/01/2009;Medio;371;0,57;4;110,99;0,02;3
418;2817;18/04/2009;Medio;15;0,53;40;39,89;0,06;26
1336;9762;03/01/2009;Alto;1150;0,78;12;20,98;0,05;27
6772;48199;18/01/2009;No Especificado;16;0,4;47;15,74;0,1;28
5704;40354;03/01/2009;Alto;839;0,37;29;5,58;0,03;29
5705;40354;03/01/2009;Alto;770;0,64;4;212,6;0,09;29
5780;40997;21/04/2009;Bajo;770;0,64;33;212,6;0,04;30
1324;9665;23/04/2009;Bajo;770;0,64;49;212,6;0,1;31
4028;28772;06/02/2009;Alto;18;0,68;16;71,37;0,02;32
