State,Account length,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total intl calls,Customer service calls,Churn
KS,128,No,Yes,25,265.1,110,3,1,False
OH,107,No,Yes,26,161.6,123,3,1,False
NJ,137,No,No,0,243.4,114,5,0,False
OH,84,Yes,No,0,299.4,71,7,2,False
OK,75,Yes,No,0,166.7,113,3,3,False
AL,118,Yes,No,0,223.4,98,6,0,False
MA,121,No,Yes,24,218.2,88,7,3,False
MO,147,Yes,No,0,157,79,6,0,False
LA,117,No,No,0,184.5,97,4,1,False
WV,141,Yes,Yes,37,258.6,84,5,0,False
IN,65,No,No,0,129.1,137,6,4,True
RI,74,No,No,0,187.7,127,5,0,False
IA,168,No,No,0,128.8,96,2,1,False
MT,95,No,No,0,156.6,88,5,3,False
IA,62,No,No,0,120.7,70,6,4,False
NY,161,No,No,0,332.9,67,9,4,True
ID,85,No,Yes,27,196.4,139,4,1,False
VT,93,No,No,0,190.7,114,3,3,False
VA,76,No,Yes,33,189.7,66,5,1,False
TX,73,No,No,0,224.4,90,2,1,False
FL,147,No,No,0,155.1,117,4,0,False
CO,77,No,No,0,62.4,89,6,5,True
AZ,130,No,No,0,183,112,19,0,False
SC,111,No,No,0,110.4,103,6,2,False
VA,132,No,No,0,81.1,86,2,0,False
NE,174,No,No,0,124.3,76,5,3,False
WY,57,No,Yes,39,213,115,3,0,False
MT,54,No,No,0,134.3,73,4,3,False
MO,20,No,No,0,190,109,6,0,False
HI,49,No,No,0,119.3,117,1,1,False
IL,142,No,No,0,84.8,95,6,2,False
NH,75,No,No,0,226.1,105,5,1,False
LA,172,No,No,0,212,121,10,3,False
AZ,12,No,No,0,249.6,118,3,1,True
OK,57,No,Yes,25,176.8,94,4,0,False
GA,72,No,Yes,37,220,80,6,3,False
AK,36,No,Yes,30,146.3,128,6,0,False
MA,78,No,No,0,130.8,64,5,1,False
AK,136,Yes,Yes,33,203.9,106,6,3,False
NJ,149,No,No,0,140.4,94,9,1,False
GA,98,No,No,0,126.3,102,2,3,False
MD,135,Yes,Yes,41,173.1,85,15,0,True
AR,34,No,No,0,124.8,82,4,2,False
ID,160,No,No,0,85.8,77,4,3,False
WI,64,No,No,0,154,67,3,1,False
OR,59,No,Yes,28,120.9,97,5,2,False
MI,65,No,No,0,211.3,120,5,3,False
DE,142,No,No,0,187,133,5,2,False
ID,119,No,No,0,159.1,114,3,5,True
WY,97,No,Yes,24,133.2,135,3,1,False
IA,52,No,No,0,191.9,108,5,3,False
IN,60,No,No,0,220.6,57,3,1,False
VA,10,No,No,0,186.1,112,6,2,False
UT,96,No,No,0,160.2,117,5,2,False
WY,87,No,No,0,151,83,3,5,True
IN,81,No,No,0,175.5,67,3,1,False
CO,141,No,No,0,126.9,98,2,1,False
CO,121,No,Yes,30,198.4,129,3,3,True
WI,68,No,No,0,148.8,70,3,3,False
OK,125,No,No,0,229.3,103,8,1,False
ID,174,No,No,0,192.1,97,4,1,False
CA,116,No,Yes,34,268.6,83,3,2,False
MN,74,No,Yes,33,193.7,91,3,2,False
SD,149,No,Yes,28,180.7,92,3,3,False
NC,38,No,No,0,131.2,98,6,2,False
WA,40,No,Yes,41,148.1,74,5,2,False
WY,43,Yes,No,0,251.5,105,4,0,False
MN,113,Yes,No,0,125.2,93,8,0,False
UT,126,No,No,0,211.6,70,1,1,False
TX,150,No,No,0,178.9,101,3,4,True
NJ,138,No,No,0,241.8,93,7,3,False
MN,162,No,Yes,46,224.9,97,2,0,False
NM,147,No,No,0,248.6,83,4,3,False
NV,90,No,No,0,203.4,146,4,1,False
HI,85,No,No,0,235.8,109,3,0,False
MN,50,No,No,0,157.1,90,2,1,False
DC,82,No,No,0,300.3,109,4,0,True
NY,144,No,No,0,61.6,117,7,4,True
MN,46,No,No,0,214.1,72,3,2,False
MD,70,No,No,0,170.2,98,2,1,False
WV,144,No,No,0,201.1,99,2,1,False
OR,116,Yes,No,0,215.4,104,5,3,False
CO,55,No,Yes,25,165.6,123,2,3,False
GA,70,No,Yes,24,249.5,101,4,1,False
TX,106,No,No,0,210.6,96,1,2,True
VT,128,No,Yes,29,179.3,104,7,0,False
IN,94,No,No,0,157.9,105,5,4,True
WV,111,No,No,0,214.3,118,2,1,False
KY,74,No,Yes,35,154.1,104,9,2,False
NJ,128,No,No,0,237.9,125,4,1,True
DC,82,No,No,0,143.9,61,2,1,False
LA,155,No,No,0,203.4,100,4,0,True
AR,80,No,No,0,124.3,100,9,1,False
ME,78,No,No,0,252.9,93,7,3,False
AZ,90,No,No,0,179.1,71,7,3,False
AK,104,No,No,0,278.4,106,5,1,False
MT,73,No,No,0,160.1,110,4,0,False
AZ,99,No,No,0,198.2,87,3,4,False
MS,120,No,No,0,212.1,131,5,1,True
ID,77,No,No,0,251.8,72,7,2,True
IA,98,No,Yes,21,161.2,114,8,4,False
MA,108,No,No,0,178.3,137,5,0,False
VT,135,No,No,0,151.7,82,6,0,False
KY,95,No,No,0,135,99,9,1,False
IN,122,No,No,0,170.5,94,2,1,False
AZ,95,No,No,0,238.1,65,4,4,False
MI,36,No,Yes,29,281.4,102,6,2,False
NM,93,No,Yes,21,117.9,131,3,1,False
CO,141,No,Yes,32,148.6,91,1,1,False
UT,157,No,No,0,229.8,90,7,3,False
MI,120,No,No,0,165,100,8,1,False
MA,103,No,No,0,185,117,2,2,False
AL,98,No,No,0,161,117,4,4,False
DE,125,No,No,0,126.7,108,7,1,False
AZ,63,No,No,0,58.9,125,3,1,False
ME,36,Yes,Yes,42,196.8,89,6,0,True
NJ,64,No,No,0,162.6,83,3,1,False
NV,74,No,No,0,282.5,114,4,1,True
MO,112,No,Yes,36,113.7,117,3,2,False
ID,97,No,No,0,239.8,125,5,2,False
NE,46,No,No,0,210.2,92,7,1,False
TX,41,No,Yes,22,213.8,102,3,0,False
MD,121,No,No,0,190.7,103,4,3,False
MS,193,No,No,0,170.9,124,3,1,False
NV,130,No,No,0,154.2,119,5,2,False
AZ,85,No,No,0,201.4,52,3,1,False
MS,162,No,No,0,70.7,108,3,4,True
MS,61,No,Yes,27,187.5,124,6,4,True
TX,92,No,No,0,91.7,90,4,2,False
NE,131,No,Yes,36,214.2,115,4,3,False
NE,90,No,No,0,145.5,92,2,3,False
CA,75,No,No,0,166.3,125,5,1,False
NJ,78,No,No,0,231,115,3,1,False
TX,82,No,No,0,200.3,96,1,4,False
AR,163,No,No,0,197,109,10,1,False
AL,91,Yes,No,0,129.9,112,3,3,False
NY,75,No,Yes,21,175.8,97,4,5,False
FL,91,No,No,0,203.1,106,3,3,False
AK,127,No,Yes,36,183.2,117,8,1,False
NV,113,No,Yes,23,205,101,5,2,False
DE,110,No,No,0,148.5,115,3,1,False
